,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1387,2607,35,8,33360,74,--,242
1,1388,2916,42,7,44920,69,--,467
2,1389,2669,21,4,19940,127,--,491
3,1390,1995,31,3,38850,64,--,124
4,1391,1937,15,4,11590,129,--,458
5,1392,1987,21,5,16080,94,--,319
6,1393,2221,33,6,32280,67,--,779
7,1394,1919,29,7,23390,66,--,99
8,1395,3803,59,8,59170,64,--,8
9,1396,1592,13,3,15280,122,--,520
10,1397,2301,10,5,5610,230,--,693
11,1398,2987,29,6,21600,103,--,422
12,1399,2136,18,4,18590,118,--,260
13,1400,2547,26,9,11330,97,--,253
14,1401,1982,12,7,6000,165,--,99
15,1402,2749,28,4,17150,98,--,308
16,1403,1874,18,6,12550,104,--,170
17,1404,1865,24,10,14440,77,--,192
18,1405,1799,17,6,13990,105,--,132
19,1406,2731,40,6,35530,68,--,74
20,1407,1801,5,5,600,360,--,728
21,1408,2753,23,6,16030,119,--,101
22,1409,2555,32,6,30530,79,--,150
23,1410,2528,6,5,1820,421,--,670
