,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3335,31,9,20990,107,--,388
1,1412,1972,12,5,7010,164,--,53
2,1413,2457,11,6,4220,223,--,81
3,1414,2474,13,7,5720,190,--,298
4,1415,2358,21,6,12850,112,--,123
5,1416,2608,19,9,12950,137,--,455
6,1417,2808,29,3,27160,96,--,694
7,1418,2727,15,6,13190,181,--,319
8,1419,2234,30,7,21510,74,--,--
9,1420,2482,35,10,21050,70,--,46
10,1421,2339,5,3,4160,467,--,1475
11,1422,2655,13,5,8500,204,--,703
12,1423,2413,7,2,5530,344,--,415
13,1424,1662,14,7,10200,118,--,27
14,1425,2816,27,6,17240,104,--,643
15,1426,2304,29,8,23120,79,--,353
16,1427,2982,35,7,30540,85,--,162
