,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1185,1657,17,4,18740,97,--,283
1,1186,1767,19,6,10190,93,--,--
2,1187,1939,36,7,27060,53,--,157
3,1188,2190,21,8,11850,104,--,5
4,1189,2455,17,6,9240,144,--,35
5,1190,1805,41,8,29240,44,--,111
6,1191,1592,33,7,27860,48,--,112
7,1192,1801,15,7,5890,120,--,19
8,1193,2069,29,10,20090,71,--,25
9,1194,2233,37,7,24600,60,--,253
10,1195,1983,31,9,19590,63,--,118
11,1196,2260,21,10,15070,107,--,34
12,1197,2403,19,6,10300,126,--,--
13,1198,1918,24,8,16950,79,--,274
14,1199,1663,17,3,15890,97,--,179
15,1200,1693,28,4,19080,60,--,58
16,1201,1996,16,6,10390,124,--,511
17,1202,1669,38,6,44000,43,--,419
18,1203,1754,21,3,18670,83,--,78
19,1204,1350,9,5,3220,150,--,44
20,1205,2345,3,3,1410,781,--,522
21,1206,1567,41,7,34950,38,--,52
22,1207,1971,52,15,34280,37,--,--
23,1208,2264,13,4,7740,174,--,--
