,履歴,|,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,履歴,|,5162,48,6,49180,107,--,309
1,履歴,|,4101,24,4,22670,170,--,170
2,履歴,|,3132,20,4,18280,156,--,423
3,履歴,|,3531,17,4,15430,207,--,212
4,履歴,|,4217,20,10,10130,210,--,167
5,履歴,|,4710,39,8,36780,120,--,182
6,履歴,|,2939,17,4,14450,172,--,267
7,履歴,|,3979,39,3,36440,102,--,623
8,履歴,|,0,0,0,0,--,--,--
9,履歴,|,2971,12,2,14380,247,--,170
10,履歴,|,4697,33,7,28130,142,--,802
11,履歴,|,3582,16,5,10180,223,--,156
12,履歴,|,3830,16,4,10190,239,--,104
13,履歴,|,3262,12,5,6010,271,--,107
14,履歴,|,4702,26,12,9140,180,--,301
15,履歴,|,2837,10,6,3220,283,--,898
16,履歴,|,4520,48,8,46840,94,--,101
17,履歴,|,4118,21,11,10190,196,--,167
18,履歴,|,3802,14,6,6370,271,--,158
19,履歴,|,2992,14,3,10190,213,--,171
20,履歴,|,2057,4,3,1830,514,--,250
21,履歴,|,0,0,0,0,--,--,--
22,履歴,|,4623,31,7,23280,149,--,339
23,履歴,|,4416,28,9,10910,157,--,215
