,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,recall_value
1337,2,2,2,0,0,2,2,2,0,0.0
1338,0,0,0,2,2,2,2,0,1,0.2
1339,1,2,2,2,2,1,0,0,0,0.4
1340,2,2,2,2,1,1,0,0,0,0.4
1341,0,1,2,2,2,0,0,1,0,0.33
1342,2,0,0,0,1,0,1,1,1,0.5
1343,0,0,0,0,0,1,0,0,0,0.11
1344,1,2,2,2,0,0,2,2,2,0.33
1345,2,2,0,0,0,0,0,0,0,0.0
1346,2,2,2,2,2,1,0,0,2,0.33
1347,2,2,0,0,0,2,2,1,0,0.2
1348,2,1,1,1,2,2,0,1,0,0.67
1349,0,1,0,2,0,0,0,0,2,0.14
1350,0,1,0,0,0,2,0,0,1,0.25
1351,2,2,2,2,2,0,0,1,0,0.25
1352,0,1,1,1,2,0,0,1,1,0.62
1353,2,0,1,0,2,2,2,0,1,0.4
1354,0,2,2,0,1,1,1,0,1,0.57
1355,2,2,1,0,0,1,1,1,2,0.67
1356,0,1,0,2,0,0,1,0,2,0.29
1357,2,2,2,0,0,2,0,0,2,0.0
1358,2,2,0,0,0,0,0,0,0,0.0
1359,1,0,1,0,0,0,1,2,2,0.43
1360,2,2,2,0,1,1,1,2,1,0.8
