,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,recall_value
1337,2,2,2,2,2,2,2,2,2,2,2,0.0
1338,0,0,0,0,0,1,0,0,1,0,1,0.27
1339,0,0,1,0,1,1,1,1,0,0,0,0.45
1340,0,1,0,0,0,1,1,1,0,0,0,0.36
1341,0,1,0,1,1,1,1,0,0,1,0,0.55
1342,1,0,1,0,0,0,1,0,1,1,1,0.55
1343,0,0,0,0,0,0,0,1,0,0,0,0.09
1344,2,2,2,2,2,2,2,2,2,2,2,0.0
1345,0,0,0,0,0,0,0,0,0,0,0,0.0
1346,0,0,0,0,0,0,1,1,0,0,1,0.27
1347,2,2,2,2,2,2,2,2,2,2,2,0.0
1348,0,1,0,1,1,1,0,0,0,1,0,0.45
1349,0,1,0,1,0,1,0,0,0,0,0,0.27
1350,0,1,0,1,0,0,0,0,0,0,1,0.27
1351,0,0,0,0,0,1,1,0,0,1,0,0.27
1352,1,0,0,1,1,1,0,0,0,1,1,0.55
1353,2,2,2,2,2,2,2,2,2,2,2,0.0
1354,1,0,0,0,0,0,1,1,1,0,1,0.45
1355,2,2,2,2,2,2,2,2,2,2,2,0.0
1356,0,0,0,1,0,0,0,0,1,0,0,0.18
1357,1,0,0,0,0,0,0,0,0,0,0,0.09
1358,1,0,0,0,0,0,0,0,0,0,0,0.09
1359,1,1,1,0,1,0,0,0,1,0,0,0.45
1360,2,2,2,2,2,2,2,2,2,2,2,0.0
