,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,recall_value
1337,2,2,2,2,2,2,2,2,0.0
1338,2,2,2,2,2,2,0,2,0.0
1339,2,2,2,2,2,2,0,0,0.0
1340,2,2,2,2,2,2,2,2,0.0
1341,2,2,2,2,2,2,2,2,0.0
1342,2,2,2,2,2,2,2,2,0.0
1343,2,2,0,2,2,2,2,0,0.0
1344,2,2,2,2,2,2,2,2,0.0
1345,2,0,2,2,2,0,2,2,0.0
1346,2,2,2,2,2,2,2,2,0.0
1347,2,2,2,2,2,2,2,2,0.0
1348,2,1,2,2,2,2,2,2,1.0
1349,2,2,2,2,2,2,2,2,0.0
1350,2,2,2,2,2,0,2,2,0.0
1351,2,2,2,2,0,2,2,2,0.0
1352,1,2,2,2,2,2,1,2,1.0
1353,2,2,2,2,2,2,2,2,0.0
1354,2,2,2,2,2,2,2,2,0.0
1355,2,2,2,2,2,2,2,2,0.0
1356,2,2,2,2,2,2,2,2,0.0
1357,2,0,2,2,2,2,2,2,0.0
1358,2,0,2,2,2,0,2,2,0.0
1359,2,2,2,2,2,2,2,2,0.0
1360,2,2,2,2,2,2,2,1,1.0
