店舗,機種,台,logic,勝率
osaka_rakuen_namba,eva,1360,logic_1,0.8
kyoto_kawaracho_king,eva,80,logic_1,0.67
osaka_rakuen_namba,eva,1355,logic_1,0.67
osaka_rakuen_namba,eva,1354,logic_1,0.57
osaka_rakuen_namba,eva,1341,logic_2,0.55
osaka_rakuen_namba,eva,1342,logic_2,0.55
osaka_rakuen_namba,eva,1352,logic_2,0.55
kyoto_kawaracho_king,eva,41,logic_1,0.5
kyoto_kawaracho_king,eva,43,logic_2,0.5
kyoto_kawaracho_king,eva,45,logic_2,0.5
kyoto_kawaracho_king,eva,78,logic_2,0.5
kyoto_kawaracho_king,eva,79,logic_2,0.5
osaka_rakuen_namba,eva,1342,logic_1,0.5
